mic	X1	X2	value
3	TCF7L2	BCAP31	0.7494
1	AKT3	BCAP31	0.5089
2	MOB1B	BCAP31	0.5915
1	TMEM161B	BCAP31	0.692
1	ZNF292	BCAP31	0.6621
1	TM9SF4	BCL2A1	0.5537
1	ATP8A1	BCL2A1	0.5596
2	PPARG	BCL2A1	0.5169
1	TRHDE	BCL2A1	0.8594
1	VIM	BCL2A1	0.6403
16	ACTR2	BCL2L1	0.6133
17	AP1S1	BCL2L1	0.7955
4	CFL1	BCL2L1	0.6472
8	ENC1	BCL2L1	0.531
3	PRKX	BCL2L1	0.5814
3	RAB5C	BCL2L1	0.8937
3	RACGAP1	BCL2L1	0.52
3	SKA3	BCL2L1	0.7032
4	AQR	BCL2L1	0.7012
1	ARHGAP10	BCL2L1	0.5591
4	ATXN3	BCL2L1	0.5266
4	CNOT7	BCL2L1	0.5391
1	CRYM-AS1	BCL2L1	0.6319
7	ELF2	BCL2L1	0.6376
5	GPBP1	BCL2L1	0.6668
2	GPN3	BCL2L1	0.7565
10	HYKK	BCL2L1	0.5966
20	LUC7L3	BCL2L1	0.5896
11	MBOAT2	BCL2L1	0.6175
7	OCRL	BCL2L1	0.8341
6	PDZRN3	BCL2L1	0.5545
12	PSD3	BCL2L1	0.629
7	REPS2	BCL2L1	0.7117
7	RILPL1	BCL2L1	0.5144
7	TCTN1	BCL2L1	0.639
12	TMEM161B	BCL2L1	0.7163
4	TMEM50B	BCL2L1	0.7161
1	TRMU	BCL2L1	0.5434
2	ZFY	BCL2L1	0.5006
6	ZNF66	BCL2L1	0.6566
4	ZNF93	BCL2L1	0.6049
2	COL1A2	BCL2L14	0.902
1	KRT7	BCL2L14	0.7896
2	SLC35F5	BCL2L14	0.5074
2	LAMP1	BCL2L15	0.5703
12	ZNF292	BCL2L15	0.64
5	DDAH1	BID	0.5705
1	CRYM-AS1	BID	0.6896
3	HSDL2	BID	0.7096
7	PPARG	BID	0.5926
3	SCRG1	BID	0.5396
6	SLC22A3	BID	0.6115
2	TMEM161B	BID	0.5195
5	ZNF292	BID	0.7942
1	AK2	BIK	0.5907
1	PFKFB4	BIK	0.5237
1	PRKX	BIK	0.6826
2	MOB1B	BIK	0.5278
1	PELI2	BIK	0.6613
1	PLEKHA5	BIK	0.5571
1	REPS2	BIK	0.7517
1	TGFBR3	BIK	0.5713
2	TMEM50B	BIK	0.7356
1	AURKA	BIRC5	0.5226
2	FADS2	BIRC5	0.5672
16	HDGF	BIRC5	0.6145
5	PRR5-ARHGAP8	BIRC5	0.8067
7	SORT1	BIRC5	0.6236
14	STK35	BIRC5	0.5216
13	UGT8	BIRC5	0.7009
1	ITGA3	BLNK	0.5223
1	SEL1L3	BLNK	0.6083
1	SORT1	BLNK	0.5287
1	TRHDE	BLNK	0.5714
2	ATP1A1	BTC	0.6116
3	DTL	BTC	0.546
1	LAMP1	BTC	0.6209
2	PFKFB4	BTC	0.6161
3	TM9SF4	BTC	0.8593
2	TMEM38B	BTC	0.5217
3	TRHDE	BTC	0.8273
3	TTC8	BTC	0.5925
6	ACTR2	C2	0.5717
1	LGALS3BP	C2	0.6712
1	SEL1L3	C2	0.8872
1	ATP8A1	C2	0.5171
3	LRCH2	C2	0.6101
1	PLEKHH2	C2	0.598
2	SCRG1	C2	0.5937
5	SFMBT2	C2	0.5245
1	CFL1	CAP1	0.6151
8	COL1A2	CAP1	0.5866
2	DDAH1	CAP1	0.6022
3	LGALS3BP	CAP1	0.6021
3	NCAPG	CAP1	0.5034
4	SEL1L3	CAP1	0.5984
3	ATP8A1	CAP1	0.6622
4	LRCH2	CAP1	0.6353
2	PLEKHH2	CAP1	0.7599
4	RALGAPA1	CAP1	0.5903
12	SFMBT2	CAP1	0.6786
12	SLC22A3	CAP1	0.7497
5	SNCAIP	CAP1	0.7017
6	TPTE2P3	CAP1	0.6262
2	ATP1A1	CASP8	0.6129
1	PFKFB4	CASP8	0.6332
4	TM9SF4	CASP8	0.7098
1	ASXL3	CASP8	0.5663
1	MED30	CASP8	0.5044
11	TRHDE	CASP8	0.5984
2	AK2	CD109	0.6307
11	AP1S1	CD109	0.5691
9	AURKA	CD109	0.5381
8	GRHL2	CD109	0.8395
2	HUNK	CD109	0.7508
10	LAMP1	CD109	0.5245
2	PTPRS	CD109	0.8606
10	RAPGEF5	CD109	0.5962
8	TCF7L2	CD109	0.9458
1	ZNF707	CD109	0.7757
2	FBXO31	CD109	0.7635
10	MBOAT2	CD109	0.5817
7	PLEKHA5	CD109	0.5188
1	ATP8A1	CD14	0.5983
1	LRCH2	CD14	0.5341
1	PLEKHH2	CD14	0.6987
1	SCRG1	CD14	0.5933
1	ZNF292	CD14	0.5523
2	DDAH1	CD163	0.591
3	ATP8A1	CD163	0.6927
2	SLC22A3	CD163	0.7014
1	ELF2	CD163L1	0.5262
1	SLC35F5	CD163L1	0.5437
1	TMEM161B	CD163L1	0.5946
1	RAB5C	CD1C	0.6249
1	CNOT7	CD1C	0.5054
1	PPARG	CD1C	0.5192
1	PSD3	CD1C	0.7194
1	REPS2	CD1C	0.7403
1	ZNF483	CD1C	0.6393
1	FADS2	CD1D	0.7363
1	WNK1	CD1D	0.8134
1	SLC35F5	CD1D	0.5233
14	COL1A2	CD47	0.6224
6	ATP8A1	CD47	0.6686
3	KANSL2	CD47	0.5239
9	LRCH2	CD47	0.516
25	PPARG	CD47	0.5373
7	RALGAPA1	CD47	0.5806
1	SCRG1	CD47	0.5688
15	SFMBT2	CD47	0.6253
19	SLC22A3	CD47	0.7251
17	SNCAIP	CD47	0.6988
4	TPTE2P3	CD47	0.5417
19	TRHDE	CD47	0.527
1	DDAH1	CD53	0.5251
1	ATP8A1	CD53	0.7534
3	DDAH1	CD58	0.6537
2	LAMP1	CD58	0.5348
2	RASGRP1	CD58	0.6099
1	CRYM-AS1	CD58	0.7171
4	HSDL2	CD58	0.6536
3	OCRL	CD58	0.5684
2	TMEM161B	CD58	0.6096
9	ZNF292	CD58	0.8895
1	DDAH1	CD68	0.5669
1	NCAPG	CD68	0.5769
1	ATP8A1	CD68	0.5878
3	AURKA	CDH1	0.5883
12	GRHL2	CDH1	0.793
2	HUNK	CDH1	0.5732
4	PRR5-ARHGAP8	CDH1	0.6482
3	PTPRS	CDH1	0.6174
18	STK35	CDH1	0.5293
13	TCF7L2	CDH1	0.6577
4	ZNF707	CDH1	0.7645
1	TRHDE	CDH6	0.7538
1	AK2	CFB	0.6088
1	TCF7L2	CFB	0.66
1	MOB1B	CFB	0.6496
1	PELI2	CFB	0.5827
2	ACTR2	CFL1	0.6718
2	AP1S1	CFL1	0.77
17	CFL1	CFL1	0.8351
2	KRT7	CFL1	0.6554
1	NCAPG	CFL1	0.5009
3	RACGAP1	CFL1	0.7933
2	SCNN1A	CFL1	0.5175
7	WNK1	CFL1	0.7793
1	AQR	CFL1	0.5879
1	ARHGAP10	CFL1	0.606
3	ATXN3	CFL1	0.5327
2	ELF2	CFL1	0.6585
1	GPBP1	CFL1	0.7106
1	GPN3	CFL1	0.6452
2	HYKK	CFL1	0.5527
2	LUC7L3	CFL1	0.5981
4	OCRL	CFL1	0.5958
3	PSD3	CFL1	0.579
3	REPS2	CFL1	0.5507
2	RHOBTB3	CFL1	0.6239
3	RILPL1	CFL1	0.6571
3	RPH3AL	CFL1	0.5003
3	SLC35F5	CFL1	0.7033
3	SLC6A6	CFL1	0.5351
6	TCTN1	CFL1	0.5038
2	ZNF93	CFL1	0.6799
1	BVES	CFTR	0.7089
1	ULK4	CFTR	0.5726
4	ATP8A1	CFTR	0.663
4	LRCH2	CFTR	0.5049
6	DDAH1	CHST11	0.7837
1	LGALS3BP	CHST11	0.6446
6	RASGRP1	CHST11	0.6552
2	LRCH2	CHST11	0.5665
7	SLC22A3	CHST11	0.5186
15	ZNF292	CHST11	0.5784
1	SCRG1	CHST4	0.5806
10	COL1A2	CKAP2	0.9616
1	RAB5C	CKAP2	0.6483
4	RACGAP1	CKAP2	0.5817
13	WNK1	CKAP2	0.7061
3	KANSL2	CKAP2	0.584
1	L3MBTL4	CKAP2	0.6269
7	PSD3	CKAP2	0.5985
3	RAD9B	CKAP2	0.5904
7	SFMBT2	CKAP2	0.5072
4	SNCAIP	CKAP2	0.586
16	TGFBR3	CKAP2	0.6241
4	TMEM50B	CKAP2	0.6197
1	ZNF569	CKAP2	0.6795
2	BVES	CLPTM1L	0.7078
4	DDAH1	CLPTM1L	0.5715
1	ITGA3	CLPTM1L	0.5071
2	RASGRP1	CLPTM1L	0.6334
2	ULK4	CLPTM1L	0.6383
6	BVES	COL1A1	0.5373
24	COL1A2	COL1A1	0.6313
3	LGALS3BP	COL1A1	0.7075
3	SEL1L3	COL1A1	0.7262
4	ATP8A1	COL1A1	0.899
3	LRCH2	COL1A1	0.6316
6	SLC22A3	COL1A1	0.5278
8	SNCAIP	COL1A1	0.6755
8	TPTE2P3	COL1A1	0.6313
18	TRHDE	COL1A1	0.5662
1	AK2	CORO1A	0.8034
2	ATP1A1	CORO1A	0.548
8	DTL	CORO1A	0.6959
2	HDGF	CORO1A	0.519
9	PRR5-ARHGAP8	CORO1A	0.5355
1	PTPRS	CORO1A	0.6056
14	TCF7L2	CORO1A	0.8114
5	TM9SF4	CORO1A	0.5603
5	UGT8	CORO1A	0.7642
3	PELI2	CORO1A	0.6146
10	TMEM38B	CORO1A	0.7287
1	ZNF608	CR1	0.6303
1	BVES	CRLF1	0.5572
1	LGALS3BP	CRLF1	0.5473
2	ATP1A1	CXADR	0.552
1	PFKFB4	CXADR	0.7167
4	TM9SF4	CXADR	0.7678
1	ASXL3	CXADR	0.7337
1	PPIG	CXADR	0.6089
1	RAD9B	CXADR	0.522
4	TGFBR3	CXADR	0.7434
1	TMEM38B	CXADR	0.5707
1	ZNF483	CXADR	0.5167
1	UGT8	CXCL1	0.578
2	COL1A2	CXCL10	0.7932
8	SEL1L3	CXCL10	0.7508
5	SLC22A3	CXCL10	0.5381
1	SNCAIP	CXCL10	0.7046
1	TPTE2P3	CXCL10	0.7329
6	ACTR2	CXCL14	0.7297
5	AP1S1	CXCL14	0.5452
3	DDAH1	CXCL14	0.5324
2	ENC1	CXCL14	0.5401
6	RAB5C	CXCL14	0.7252
1	SKA3	CXCL14	0.5566
1	ARHGAP10	CXCL14	0.527
16	CNOT7	CXCL14	0.5527
3	GPBP1	CXCL14	0.7493
2	GPN3	CXCL14	0.7407
1	HSDL2	CXCL14	0.7293
8	LUC7L3	CXCL14	0.6463
1	MBOAT2	CXCL14	0.5707
13	OCRL	CXCL14	0.8143
1	PLEKHH2	CXCL14	0.644
12	PPARG	CXCL14	0.5042
14	PSD3	CXCL14	0.5135
2	RALGAPA1	CXCL14	0.5836
1	SCRG1	CXCL14	0.6513
18	SFMBT2	CXCL14	0.5532
6	TCTN1	CXCL14	0.5327
1	TMEM161B	CXCL14	0.7656
14	VPS35	CXCL14	0.5209
24	ZNF292	CXCL14	0.8965
2	DTL	CXCL6	0.7635
1	HUNK	CXCL6	0.6105
1	TM9SF4	CXCL6	0.6054
1	UGT8	CXCL6	0.8486
1	TMEM38B	CXCL6	0.5397
2	ENC1	DBNL	0.5012
2	PRKX	DBNL	0.5033
2	AQR	DBNL	0.5019
1	CNOT7	DBNL	0.5342
1	CRYM-AS1	DBNL	0.7007
1	HSDL2	DBNL	0.5426
4	MOB1B	DBNL	0.72
1	OCRL	DBNL	0.7562
3	PPARG	DBNL	0.5843
2	REPS2	DBNL	0.6496
3	TMEM161B	DBNL	0.7013
3	DDAH1	DCBLD1	0.5469
2	GRHL2	DCBLD1	0.7932
7	LAMP1	DCBLD1	0.5495
1	PTPRS	DCBLD1	0.6846
6	TCF7L2	DCBLD1	0.6641
1	ZNF292	DCBLD1	0.5678
2	CFL1	DCBLD2	0.7839
20	COL1A2	DCBLD2	0.84
4	KRT7	DCBLD2	0.6041
8	SEL1L3	DCBLD2	0.5108
18	ATP8A1	DCBLD2	0.7139
11	GPBP1	DCBLD2	0.5146
4	KANSL2	DCBLD2	0.5789
16	LRCH2	DCBLD2	0.5087
1	MED30	DCBLD2	0.7445
4	PLEKHH2	DCBLD2	0.7429
25	PSD3	DCBLD2	0.5375
10	RALGAPA1	DCBLD2	0.6441
6	SCRG1	DCBLD2	0.6344
12	SFMBT2	DCBLD2	0.7032
27	SLC22A3	DCBLD2	0.7075
19	SNCAIP	DCBLD2	0.7589
8	TPTE2P3	DCBLD2	0.7765
3	COL1A2	DCDC2	0.8493
1	ASXL3	DCDC2	0.6243
1	KANSL2	DCDC2	0.58
4	SNCAIP	DCDC2	0.5847
5	TGFBR3	DCDC2	0.6962
2	TPTE2P3	DCDC2	0.6021
4	TRHDE	DCDC2	0.7886
4	VIM	DCDC2	0.6179
1	ITGA3	DEFB4B	0.5618
1	ATP8A1	DEFB4B	0.5053
1	COL1A2	DSC1	0.6244
1	TGFBR3	DSC1	0.86
2	AK2	DSC2	0.6344
1	ATP1A1	DSC2	0.5037
2	DTL	DSC2	0.724
1	LAMP1	DSC2	0.5843
1	PTPRS	DSC2	0.5145
6	TCF7L2	DSC2	0.6867
3	TM9SF4	DSC2	0.6574
6	UGT8	DSC2	0.7917
5	TMEM38B	DSC2	0.654
1	TTC8	DSC2	0.5539
12	ACTR2	DSC3	0.6342
2	CFL1	DSC3	0.9484
15	COL1A2	DSC3	0.8198
2	KRT7	DSC3	0.842
1	NCAPG	DSC3	0.7101
1	RAB5C	DSC3	0.694
1	RACGAP1	DSC3	0.696
15	WNK1	DSC3	0.8264
2	GPBP1	DSC3	0.5838
18	RHOBTB3	DSC3	0.5175
1	SCRG1	DSC3	0.5935
9	SFMBT2	DSC3	0.6
12	SLC35F5	DSC3	0.5869
3	SNCAIP	DSC3	0.5702
2	ZNF569	DSC3	0.7411
12	MOB1B	DSCAM	0.5048
11	PPARG	DSCAM	0.5184
8	TRHDE	DSCAM	0.5532
4	COL1A2	DSP	0.6668
1	ITGA3	DSP	0.511
1	LGALS3BP	DSP	0.6437
2	SEL1L3	DSP	0.5003
1	ATP8A1	DSP	0.8004
1	PPIG	DSP	0.645
5	TRHDE	DSP	0.7673
9	COL1A2	DUSP3	0.7317
9	ATP8A1	DUSP3	0.6954
3	KANSL2	DUSP3	0.5922
2	PLEKHH2	DUSP3	0.554
12	PPARG	DUSP3	0.5597
4	PSD3	DUSP3	0.5843
4	RAD9B	DUSP3	0.5342
6	SFMBT2	DUSP3	0.5199
7	SLC22A3	DUSP3	0.5816
5	SNCAIP	DUSP3	0.6728
6	TPTE2P3	DUSP3	0.5463
7	TRHDE	DUSP3	0.6759
4	VIM	DUSP3	0.5508
2	ZNF483	DUSP3	0.5389
17	COL1A2	DUSP6	0.5384
6	DDAH1	DUSP6	0.5186
7	ENC1	DUSP6	0.511
10	RAB5C	DUSP6	0.5024
1	CRYM-AS1	DUSP6	0.5563
9	GPBP1	DUSP6	0.5694
3	GPN3	DUSP6	0.6145
4	HSDL2	DUSP6	0.5916
5	PLEKHH2	DUSP6	0.7436
33	PPARG	DUSP6	0.5874
18	PSD3	DUSP6	0.5756
5	RALGAPA1	DUSP6	0.6463
9	SCRG1	DUSP6	0.642
14	SFMBT2	DUSP6	0.6683
17	SLC22A3	DUSP6	0.6837
10	SNCAIP	DUSP6	0.5971
37	ZNF292	DUSP6	0.6527
4	BVES	DYRK2	0.6425
29	COL1A2	DYRK2	0.6343
3	LGALS3BP	DYRK2	0.7389
18	SEL1L3	DYRK2	0.688
18	ATP8A1	DYRK2	0.8783
24	LRCH2	DYRK2	0.5193
32	SNCAIP	DYRK2	0.5887
22	TPTE2P3	DYRK2	0.5572
54	TRHDE	DYRK2	0.659
1	NUSAP1	EDN2	0.5302
7	ACTR2	EI24	0.5099
6	DDAH1	EI24	0.8552
5	RASGRP1	EI24	0.6465
1	CRYM-AS1	EI24	0.5115
3	HSDL2	EI24	0.5454
2	SCRG1	EI24	0.5046
29	ZNF292	EI24	0.8809
12	ACTR2	EMB	0.5697
9	AP1S1	EMB	0.6349
8	AURKA	EMB	0.786
5	GRHL2	EMB	0.8761
1	KIF15	EMB	0.6151
2	NUSAP1	EMB	0.656
2	PTPRS	EMB	0.6253
4	STK35	EMB	0.6537
6	TCF7L2	EMB	0.549
3	ZNF608	EMB	0.5448
3	AKT3	EMB	0.5039
2	FBXO31	EMB	0.5269
5	ZNF292	EMB	0.5933
1	BVES	EPCAM	0.5113
1	LGALS3BP	EPCAM	0.6394
1	ATP8A1	EPCAM	0.6569
1	LRCH2	EPCAM	0.552
1	CFL1	EPHA2	0.6834
5	COL1A2	EPHA2	0.8243
2	ATP8A1	EPHA2	0.73
3	KANSL2	EPHA2	0.6232
1	PLEKHH2	EPHA2	0.6998
8	PPARG	EPHA2	0.5294
3	PSD3	EPHA2	0.5962
3	RAD9B	EPHA2	0.5244
1	RALGAPA1	EPHA2	0.6237
2	SCRG1	EPHA2	0.5592
8	SFMBT2	EPHA2	0.6673
5	SLC22A3	EPHA2	0.697
7	SNCAIP	EPHA2	0.7589
6	TPTE2P3	EPHA2	0.7136
5	ACTR2	ERCC6L	0.777
2	CFL1	ERCC6L	0.8866
3	COL1A2	ERCC6L	0.5808
2	DDAH1	ERCC6L	0.5091
2	KRT7	ERCC6L	0.5863
1	NCAPG	ERCC6L	0.7331
2	RAB5C	ERCC6L	0.7096
5	WNK1	ERCC6L	0.5292
1	GPN3	ERCC6L	0.5491
1	LUC7L3	ERCC6L	0.5321
5	RHOBTB3	ERCC6L	0.5807
3	RILPL1	ERCC6L	0.5244
1	SCRG1	ERCC6L	0.8327
3	SLC22A3	ERCC6L	0.7074
4	SLC35F5	ERCC6L	0.5755
1	SLC6A6	ERCC6L	0.5015
1	SNCAIP	ERCC6L	0.6404
1	TPTE2P3	ERCC6L	0.7129
2	ZNF292	ERCC6L	0.6138
1	SEL1L3	EXO1	0.7627
1	SORT1	EXO1	0.8384
3	AK2	F11R	0.5605
5	DTL	F11R	0.7464
4	HDGF	F11R	0.6072
1	HUNK	F11R	0.6546
1	PRR5-ARHGAP8	F11R	0.8471
4	UGT8	F11R	0.9256
1	ZNF707	F11R	0.722
1	ENC1	FAM3B	0.5284
2	RAB5C	FAM3B	0.7964
1	AKT3	FAM3B	0.5215
1	AQR	FAM3B	0.7296
2	CNOT7	FAM3B	0.6336
1	ELF2	FAM3B	0.6373
1	HSDL2	FAM3B	0.5749
1	LUC7L3	FAM3B	0.6076
2	MOB1B	FAM3B	0.5747
1	OCRL	FAM3B	0.9093
1	PLEKHA5	FAM3B	0.5762
1	PSD3	FAM3B	0.5788
2	REPS2	FAM3B	0.75
1	TMEM161B	FAM3B	0.826
2	ZNF292	FAM3B	0.6081
1	ZNF66	FAM3B	0.6254
1	CFL1	FCGR1A	0.5655
1	COL1A2	FCGR1A	0.5396
1	CFL1	FCGR1B	0.5958
2	COL1A2	FCGR1B	0.5711
1	NCAPG	FCGR1B	0.5674
1	SCRG1	FCGR1B	0.6663
1	SNCAIP	FCGR1B	0.6928
1	TPTE2P3	FCGR1B	0.6457
1	LGALS3BP	FCGR2A	0.5296
1	SLC22A3	FCGR2A	0.7336
1	SNCAIP	FCGR2A	0.7085
1	ATP8A1	FCGR2B	0.7062
1	LRCH2	FCGR2B	0.5429
1	MED30	FCGR2B	0.7496
1	SLC22A3	FCGR2B	0.7353
1	ACTR2	FKBP1C	0.5455
4	NCAPG	FKBP1C	0.5285
1	RAB5C	FKBP1C	0.8189
1	RACGAP1	FKBP1C	0.916
1	SKA3	FKBP1C	0.6699
7	WNK1	FKBP1C	0.9396
1	PDZRN3	FKBP1C	0.5631
5	RHOBTB3	FKBP1C	0.5179
2	RILPL1	FKBP1C	0.5837
6	SLC35F5	FKBP1C	0.6552
1	TMEM50B	FKBP1C	0.6813
1	TPTE2P3	FKBP1C	0.5406
6	TRPC1	FKBP1C	0.6113
3	ZFY	FKBP1C	0.5377
5	ZNF569	FKBP1C	0.9009
1	ZNF93	FKBP1C	0.5321
4	COL1A2	FKBP4	0.663
1	FADS2	FKBP4	0.6547
1	KRT7	FKBP4	0.5066
2	RACGAP1	FKBP4	0.5419
16	WNK1	FKBP4	0.5958
5	PPIG	FKBP4	0.8372
4	RAD9B	FKBP4	0.5659
8	TGFBR3	FKBP4	0.8956
8	TMEM50B	FKBP4	0.7258
1	TRPC1	FKBP4	0.5146
1	SORT1	FKBPL	0.5022
3	COL1A2	FLI1	0.5446
6	TM9SF4	FLI1	0.5404
5	ATP8A1	FLI1	0.5371
9	TRHDE	FLI1	0.7807
4	VIM	FLI1	0.5217
12	COL1A2	FRAT2	0.7176
3	ENC1	FRAT2	0.5495
